Date,Open,High,Low,Close,Adj Close,Volume
2019-08-15,1.380000,1.380000,1.280000,1.290000,1.290000,31696200
2019-08-16,1.310000,1.390000,1.280000,1.390000,1.390000,32446900
2019-08-19,1.420000,1.600000,1.410000,1.600000,1.600000,66583900
2019-08-20,1.570000,1.600000,1.510000,1.590000,1.590000,34294700
2019-08-21,1.640000,1.720000,1.600000,1.620000,1.620000,48157000
2019-08-22,1.650000,1.660000,1.580000,1.610000,1.610000,32755300
2019-08-23,1.540000,1.570000,1.440000,1.470000,1.470000,47440700
2019-08-26,1.520000,1.530000,1.480000,1.490000,1.490000,18789600
2019-08-27,1.490000,1.500000,1.330000,1.390000,1.390000,54460200
2019-08-28,1.430000,1.470000,1.400000,1.470000,1.470000,29698900
2019-08-29,1.500000,1.570000,1.480000,1.540000,1.540000,48189500
2019-08-30,1.520000,1.530000,1.410000,1.440000,1.440000,30766100
2019-09-03,1.400000,1.410000,1.330000,1.380000,1.380000,56030300
2019-09-04,1.430000,1.470000,1.400000,1.470000,1.470000,37585300
2019-09-05,1.490000,1.600000,1.480000,1.600000,1.600000,68530800
2019-09-06,1.540000,1.600000,1.500000,1.580000,1.580000,39253000
2019-09-09,1.610000,1.900000,1.600000,1.890000,1.890000,94586600
2019-09-10,1.820000,2.000000,1.770000,1.830000,1.830000,120213600
2019-09-11,1.870000,1.980000,1.750000,1.830000,1.830000,71901600
2019-09-12,1.790000,1.810000,1.700000,1.790000,1.790000,49162000
2019-09-13,1.820000,1.870000,1.740000,1.780000,1.780000,49224200
2019-09-16,2.060000,2.150000,1.920000,2.060000,2.060000,262862600
2019-09-17,2.030000,2.040000,1.770000,1.770000,1.770000,95121000
2019-09-18,1.770000,1.780000,1.580000,1.590000,1.590000,94584300
2019-09-19,1.650000,1.660000,1.620000,1.640000,1.640000,34202500
2019-09-20,1.660000,1.660000,1.550000,1.580000,1.580000,86145500
2019-09-23,1.580000,1.610000,1.520000,1.520000,1.520000,46748800
2019-09-24,1.530000,1.530000,1.400000,1.430000,1.430000,58172600
2019-09-25,1.390000,1.450000,1.380000,1.420000,1.420000,36835400
2019-09-26,1.430000,1.430000,1.360000,1.410000,1.410000,49215200
2019-09-27,1.380000,1.470000,1.370000,1.400000,1.400000,39516600
2019-09-30,1.390000,1.420000,1.370000,1.410000,1.410000,38077800
2019-10-01,1.430000,1.460000,1.330000,1.330000,1.330000,65633900
2019-10-02,1.330000,1.360000,1.290000,1.320000,1.320000,66652600
2019-10-03,1.310000,1.380000,1.280000,1.360000,1.360000,47723600
2019-10-04,1.360000,1.390000,1.310000,1.360000,1.360000,43098300
2019-10-07,1.350000,1.370000,1.310000,1.330000,1.330000,46886600
2019-10-08,1.310000,1.320000,1.280000,1.280000,1.280000,67347300
2019-10-09,1.310000,1.310000,1.270000,1.270000,1.270000,45136100
2019-10-10,1.280000,1.310000,1.260000,1.290000,1.290000,45990800
2019-10-11,1.320000,1.410000,1.310000,1.390000,1.390000,68011500
2019-10-14,1.360000,1.360000,1.300000,1.340000,1.340000,36323900
2019-10-15,1.340000,1.390000,1.310000,1.340000,1.340000,51129300
2019-10-16,1.340000,1.380000,1.310000,1.310000,1.310000,49237200
2019-10-17,1.330000,1.330000,1.280000,1.310000,1.310000,51637500
2019-10-18,1.290000,1.320000,1.280000,1.290000,1.290000,34812300
2019-10-21,1.270000,1.370000,1.260000,1.360000,1.360000,59542500
2019-10-22,1.360000,1.370000,1.310000,1.350000,1.350000,38850400
2019-10-23,1.340000,1.430000,1.320000,1.430000,1.430000,56990100
2019-10-24,1.420000,1.480000,1.390000,1.480000,1.480000,46238900
2019-10-25,1.460000,1.570000,1.440000,1.560000,1.560000,71088100
2019-10-28,1.540000,1.590000,1.470000,1.470000,1.470000,60500200
2019-10-29,1.450000,1.520000,1.400000,1.470000,1.470000,51804900
2019-10-30,1.490000,1.500000,1.400000,1.400000,1.400000,37982700
2019-10-31,1.410000,1.420000,1.330000,1.340000,1.340000,47792400
2019-11-01,1.350000,1.500000,1.350000,1.440000,1.440000,78549700
2019-11-04,1.480000,1.590000,1.470000,1.560000,1.560000,110880600
2019-11-05,1.320000,1.410000,1.280000,1.280000,1.280000,144434200
2019-11-06,1.290000,1.300000,0.790000,0.910000,0.910000,348269900
2019-11-07,0.970000,0.980000,0.890000,0.910000,0.910000,120312300
2019-11-08,0.930000,0.950000,0.900000,0.900000,0.900000,69109100
2019-11-11,0.900000,0.910000,0.810000,0.810000,0.810000,87214200
2019-11-12,0.820000,0.820000,0.640000,0.670000,0.670000,176094300
2019-11-13,0.800000,0.800000,0.690000,0.700000,0.700000,178921800
2019-11-14,0.710000,0.730000,0.670000,0.690000,0.690000,89992900
2019-11-15,0.700000,0.710000,0.690000,0.700000,0.700000,80254300
2019-11-18,0.690000,0.690000,0.630000,0.640000,0.640000,94617600
2019-11-19,0.640000,0.640000,0.550000,0.560000,0.560000,116837900
2019-11-20,0.560000,0.600000,0.550000,0.570000,0.570000,106827400
2019-11-21,0.570000,0.600000,0.560000,0.580000,0.580000,68112500
2019-11-22,0.590000,0.600000,0.580000,0.590000,0.590000,55912300
2019-11-25,0.580000,0.590000,0.570000,0.580000,0.580000,71634200
2019-11-26,0.600000,0.640000,0.580000,0.600000,0.600000,96933600
2019-11-27,0.600000,0.630000,0.590000,0.620000,0.620000,61887100
2019-11-29,0.610000,0.620000,0.580000,0.600000,0.600000,35883100
2019-12-02,0.600000,0.620000,0.590000,0.610000,0.610000,47133600
2019-12-03,0.600000,0.650000,0.590000,0.640000,0.640000,67466300
2019-12-04,0.700000,0.750000,0.690000,0.740000,0.740000,155411800
2019-12-05,0.760000,0.810000,0.700000,0.720000,0.720000,122399600
2019-12-06,0.730000,0.770000,0.720000,0.760000,0.760000,66149300
2019-12-09,0.760000,0.790000,0.740000,0.790000,0.790000,60130600
